,Name,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special
0,Invisible Friends #3114,Yellow,Duffel Bag,Swinging,Black Nerd Glasses,Propeller Cap,Long Sleeves,Dark Blue / White V-Neck Sweater and Shirt,Green Pants,Black Shoes,Cigar,,,,,,,,,,
0,Invisible Friends #3115,Pink,Bomb,Swinging,,Dark Blue Beanie,Short Sleeves,Green / White V-Neck Sweater Vest and Shirt,Tan Pants,Black Shoes,Toothpick,,,,,,,,,,
0,Invisible Friends #3116,Blue,Swinging,Dog,Eye Patch,Visor,Long Sleeves,Blue / White Sweater Vest and Shirt,Pink Skirt,Bleached Sand Sneakers,Bandana,,,,,,,,,,
0,Invisible Friends #3117,Blue,Swinging,Flashlight,Nerd Ghost Glasses,Dark Blue Beanie,Long Sleeves,White Loose Shirt,Light Blue Skirt,Ice Grey Sneakers,Toothpick,,,,,,Scarf Bandana,,,,
0,Invisible Friends #3118,Green,Shovel,Swinging,White Nerd Glasses,,Long Sleeves,Blue / White Sweater Vest and Shirt,Charcoal Pants,Rocket Pop Sneakers,,,,,,,,,,,
0,Invisible Friends #3119,Blue,Shovel,Coffee,Cool Glasses,,Long Sleeves,Black Hoodie with Hood Up,Lavender Pants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #3120,Orange,Stick Bag,Pocket,Pointy Glasses,Green Pointy Beanie,Long Sleeves,Blue Zipper Hoodie with Hood Down,Pink Shorts,Summer Day Sneakers,,,,,,,,,,Dizzy,
0,Invisible Friends #3121,Purple,Swinging,Flashlight,White Glasses,Knitted Bobble Hat,Long Sleeves,Pink Zipper Hoodie with Hood Down,Tan Pants,Black Shoes,Bandana,,,,,,,,,,
0,Invisible Friends #3122,Blue,Paint Roller,Laptop,Sunglasses,,Short Sleeves,Light Blue / Pink Tucked Shirt,Grey Sweatpants,Black Shoes,,Duffel Bag,,,,,,,,,
0,Invisible Friends #3123,Pink,Axe,Rainbow Paint Bucket,Sunglasses,,Long Sleeves,Grey / White V-Neck Sweater and Shirt,White Sweatpants,Light Blue Slippers,Bing Bong Stick,,,,,,Scarf Bandana,,,,
0,Invisible Friends #3124,Green,Swinging,Swinging,Boomer Glasses,,Long Sleeves,Orange Puffer Jacket,White Tracksuit Pants,Ice Grey Sneakers,,,,,,,,,,,
0,Invisible Friends #3125,Blue,Skateboard,Dog,White Glasses,Detective Hat,Long Sleeves,Black Hoodie with Hood Down,Dark Blue Shorts,Ocean Blue Sneakers,Bing Bong Stick,,,,,,,,Bing Bong Stick,,
0,Invisible Friends #3126,Blue,Axe,Coffee,White Nerd Glasses,,Long Sleeves,Blue Hoodie with Hood Down,White Skirt,Dark Blue Slippers,,,,,,,,,,,
0,Invisible Friends #3127,Orange,Stick Bag,Swinging,Brown Glasses,,Long Sleeves,Purple Hoodie with Hood Down,Lavender Pants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #3128,Blue,Swinging,Swinging,Sunglasses,Tan Baseball Cap,Long Sleeves,Black Hoodie with Hood Up,Pink Skirt,Ice Grey Sneakers,,,,,,,,,,,
0,Invisible Friends #3129,Blue,Boxing Glove,Swinging,Cool Glasses,Turquoise 5 Panel Cap,Short Sleeves,White Loose Shirt with Pens,Dark Blue Pants,Bubblegum Blue Sneakers,,,,,,,,,Bing Bong Stick,,
0,Invisible Friends #3130,Blue,Swinging,Swinging,Black Glasses,,Long Sleeves,Blue Zipper Hoodie with Hood Up,Tan Pants,Maroon Shoes,,Brown Backpack,,,Gum,,,,,,
0,Invisible Friends #3131,Purple,Skateboard,Coffee,Eye Patch,Visor,Long Sleeves,Purple Zipper Hoodie with Hood Up,Blue Pants,White Shoes,,,,,,,,,,,
0,Invisible Friends #3132,Blue,Swinging,Flashlight,Sunglasses,White / Blue Baseball Cap,Long Sleeves,Blue Hoodie with Hood Down,Tan Shorts,White Shoes,,,,,,Green Fannypack,,,,,
0,Invisible Friends #3133,Pink,Swinging,Boxing Glove,Black Glasses,,Long Sleeves,Black Turtleneck,Green Pants,Red Shoes,,,,,,,,,,,
0,Invisible Friends #3134,Pink,Baseball Bat,Dog,Sunglasses,Rain Hat,Long Sleeves,Cream Sweatshirt,Dark Blue Shorts,Summer Night Sneakers,Bandana,Grey Backpack,,,,,,,,,
0,Invisible Friends #3135,Purple,Swinging,Pocket,Black Nerd Glasses,,Long Sleeves,Pink Zipper Hoodie with Hood Down,Red Sweatpants,Blue Shoes,Bubblegum,,,,,,,,Pencil,,
0,Invisible Friends #3136,Green,Axe,Swinging,Cool Glasses,,Long Sleeves,Purple Zipper Hoodie with Hood Down,Green Pants,Green Boots,,,,,,,,,,,
0,Invisible Friends #3137,Orange,Swinging,Swinging,White Nerd Glasses,White Headband,Long Sleeves,Black / Yellow Varsity Jacket,Dark Blue Pants,Green Boots,,,,,,Black Fannypack,,,Pencil,,
0,Invisible Friends #3138,Blue,Scientist,Swinging,White Nerd Glasses,,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Pink Skirt,Red Shoes,,,,,,,Scarf Bandana,,,,
0,Invisible Friends #3139,Blue,Swinging,Boxing Glove,White Glasses,,Long Sleeves,Green / White Varsity Jacket,Dark Blue Pants,Green Shoes,,,,,,,,,,,
0,Invisible Friends #3140,Blue,Swinging,Swinging,Radioactive Glasses,Feather Cap,Short Sleeves,Blue Loose Shirt,Light Blue Shorts,Maroon Shoes,Bandana,,,,,,Scarf Bandana,,,,
0,Invisible Friends #3141,Blue,Duffel Bag,Swinging,Brown Glasses,,Long Sleeves,Dark Blue / White V-Neck Sweater Vest and Shirt,Green Tracksuit Pants,Green Boots,,,,,,,,,,Halo,Not Financial Advice Book
0,Invisible Friends #3142,Pink,Swinging,Cat,White Glasses,,Long Sleeves,Pink Hoodie with Hood Down,Blue Sweatpants,Forest Moss Sneakers,Radioactive Pipe,,,,,,,,,,
0,Invisible Friends #3143,Blue,Swinging,Pocket,,Blue 5 Panel Cap,Long Sleeves,Yellow / Blue Hoodie Jacket with Hood Down,Grey Tracksuit Pants,Rocket Pop Sneakers,,,,,,,,,,,
